Material;Centro;Clase de valoración;Texto breve de material;Última modificación;Tipo material;Grupo de artículos;Unidad medida base;Grupo de compras;Indicador ABC;Caract.planif.nec.;Categoría valoración;Control de precios;Precio;Moneda;Cantidad base;Creado por
251602;CD00;;AMORTIGUADOR VORTEX DAMPER;8/9/2022;ZMBT;FEEM0702;C/U;;;ND;MD04;S;4,696;COP;1;USRDM03
251603;CD00;;PARAFUSO,CABECA QUADRADA,ACO ZINCAD(USD);28/10/2021;ZMBT;FEEM0702;C/U;;;ND;MD04;S;1;COP;1;USRDM03
270025;CD00;;TapaConcretoCaja inspecciónAP 0,72x0,72m;4/10/2022;ZMBT;FCMC0400;C/U;;;ND;MD05;S;121,379;COP;1;USER_TAM
270096;CD00;;SmartTermiCodoIEC240mm2Al 630A 15kVtipoC;28/10/2021;ZMBT;FELC1101;C/U;;;ND;MD04;S;1,908,000;COP;1;USER_TAM
270115;CD00;;EmpalmeCompContraíFrioCu/Al36kV95-240mm2;24/7/2024;ZMBT;FELC1102;C/U;;;ND;MD04;S;450,000;COP;1;USER_TAM
270116;CD00;;SmartercodoIEC240mm2Al630ATipoCGSCC012/3;2/11/2022;ZMBT;FELC1102;C/U;;;ND;MD04;S;2,710,452;COP;1;USER_TAM
270164;CD00;;Terminal Codo tipoA 250A 70mm2-120mm2;2/10/2024;ZMBT;FELC1101;C/U;;;ND;MD04;S;322,240;COP;1;USER_TAM
270167;CD00;;TERMINAL CABLE 1200mm2 XLP a GIS;25/2/2022;ZAT;FELC1300;C/U;;;ND;MD04;S;35,406,731;COP;1;USER_TAM
270168;CD00;;Terminal XLPE externa 1200 mm2 132kV;25/2/2022;ZAT;FELC1300;C/U;;;ND;MD04;S;28,261,397;COP;1;USER_TAM
270169;CD00;;Placa Acrí 2mm Carac alfanum 120x50mm;3/2/2022;ZMBT;FELC1700;C/U;;;ND;MD04;S;6,000;COP;1;USER_TAM
270170;CD00;;Placa Acrí 2mm Carac alfanum 250x120mm;3/2/2022;ZMBT;FELC1700;C/U;;;ND;MD04;S;12,000;COP;1;USER_TAM
270283;CD00;;TerminalEncogibFrio24kV500-630mm2Exterio;24/7/2024;ZMBT;FELC1103;C/U;;;ND;MD04;S;400,000;COP;1;USER_TAM
270284;CD00;;TerminalEncogibFrio24kV500-630mm2Interio;24/7/2024;ZMBT;FELC1103;C/U;;;ND;MD04;S;400,000;COP;1;USER_TAM
270292;CD00;;TerminalEncogibleFrio36kV 95-240mm2Exter;24/7/2024;ZMBT;FELC1103;C/U;;;ND;MD04;S;400,000;COP;1;USER_TAM
270293;CD00;;TerminEncongibleFrio36kV95-240mm2 Interi;24/7/2024;ZMBT;FELC1103;C/U;;;ND;MD04;S;350,000;COP;1;USER_TAM
270302;CD00;;TerminDesconecTasimétTipoC36kV630A240mm2;25/10/2024;ZMBT;FELC1101;C/U;;;ND;MD04;S;800,000;COP;1;USER_TAM
